,code,name
0,688251,井松智能
1,688163,赛伦生物
2,688377,迪威尔
3,600936,广西广电
4,603626,科森科技
5,605169,洪通燃气
6,603607,京华激光
7,600778,友好集团
8,603060,国检集团
9,603728,鸣志电器
10,603666,亿嘉和
11,600520,文一科技
12,603138,海量数据
13,603398,沐邦高科
14,600693,东百集团
15,600620,天宸股份
16,600576,祥源文旅
17,600543,莫高股份
18,600281,华阳新材
19,688400,凌云光
20,688330,宏力达
21,688576,西山科技
22,605080,浙江自然
23,688320,禾川科技
24,688408,中信博
25,688151,华强科技
26,688023,安恒信息
27,688314,康拓医疗
28,688622,禾信仪器
29,688455,科捷智能
30,688501,青达环保
31,688380,中微半导
32,605305,中际联合
33,600578,京能电力
34,600365,ST通葡
35,688698,伟创电气
36,600671,ST目药
37,605318,法狮龙
38,600777,ST新潮
39,600289,*ST信通
40,600027,华电国际
41,600127,金健米业
42,600831,ST广网
43,603045,福达合金
44,688383,新益昌
45,600265,景谷林业
46,600487,亨通光电
47,600927,永安期货
48,688685,迈信林
49,603990,麦迪科技
50,600764,中国海防
51,601615,明阳智能
52,600462,*ST九有
53,603766,隆鑫通用
54,688597,煜邦电力
55,601595,上海电影
56,603316,诚邦股份
57,600804,*ST鹏博
58,603958,哈森股份
59,688557,兰剑智能
60,603237,五芳斋
61,600968,海油发展
62,688103,国力股份
63,603062,麦加芯彩
64,603888,新华网
65,600539,狮头股份
66,603009,北特科技
67,600963,岳阳林纸
68,688367,工大高科
69,688028,沃尔德
70,688281,华秦科技
71,603608,*ST天创
72,688255,凯尔达
73,605055,迎丰股份
74,688260,昀冢科技
75,688603,天承科技
76,600661,昂立教育
77,688511,天微电子
78,605189,富春染织
79,688328,深科达
80,600435,北方导航
81,688056,莱伯泰科
82,600509,天富能源
83,688711,宏微科技
84,601222,林洋能源
85,600386,北巴传媒
86,600319,亚星化学
87,688292,浩瀚深度
88,600780,通宝能源
89,688229,博睿数据
90,688077,大地熊
91,688533,上声电子
92,600582,天地科技
93,688115,思林杰
94,603757,大元泵业
95,688280,精进电动-UW
96,601059,信达证券
97,603999,读者传媒
98,600568,ST中珠
99,600249,两面针
100,603063,禾望电气
101,603992,松霖科技
102,600060,海信视像
103,688017,绿的谐波
104,600381,ST春天
105,603188,亚邦股份
106,600828,茂业商业
107,603606,东方电缆
108,600765,中航重机
109,600611,大众交通
110,688716,中研股份
111,600811,东方集团
112,603315,福鞍股份
113,688349,三一重能
114,688182,灿勤科技
115,688210,统联精密
116,603730,岱美股份
117,600857,宁波中百
118,603214,爱婴室
119,688721,龙图光罩
120,688448,磁谷科技
121,603709,中源家居
122,600506,统一股份
123,688172,燕东微
124,603869,ST智知
125,600469,风神股份
126,688379,华光新材
127,600760,中航沈飞
128,605286,同力日升
129,688323,瑞华泰
130,600770,综艺股份
131,688273,麦澜德
132,603179,新泉股份
133,603662,柯力传感
134,600228,返利科技
135,688336,三生国健
136,688355,明志科技
137,603226,菲林格尔
138,688516,奥特维
139,603335,迪生力
140,600612,老凤祥
141,688560,明冠新材
142,688205,德科立
143,688170,德龙激光
144,603082,北自科技
145,600456,宝钛股份
146,600546,山煤国际
147,603808,歌力思
148,600280,中央商场
149,600526,菲达环保
150,688303,大全能源
151,603949,雪龙集团
152,600143,金发科技
153,605136,丽人丽妆
154,600608,ST沪科
155,688515,裕太微-U
156,603421,鼎信通讯
157,688215,瑞晟智能
158,688610,埃科光电
159,600637,东方明珠
160,600288,大恒科技
161,688013,天臣医疗
162,688190,云路股份
163,603969,银龙股份
164,600256,广汇能源
165,688226,威腾电气
166,600996,贵广网络
167,688391,钜泉科技
168,688030,山石网科
169,603787,新日股份
170,688373,盟科药业-U
171,600712,南宁百货
172,600051,宁波联合
173,600859,王府井
174,600753,庚星股份
175,603880,南卫股份
176,600302,标准股份
177,600152,维科技术
178,688301,奕瑞科技
179,688217,睿昂基因
180,603119,浙江荣泰
181,600774,汉商集团
182,603818,曲美家居
183,601933,永辉超市
184,605133,嵘泰股份
185,688305,科德数控
186,603225,新凤鸣
187,688687,凯因科技
188,688669,聚石化学
189,688386,泛亚微透
190,600232,金鹰股份
191,600803,新奥股份
192,688573,信宇人
193,600609,金杯汽车
194,603385,惠达卫浴
195,688768,容知日新
196,688053,思科瑞
197,688786,悦安新材
198,688186,广大特材
199,600728,佳都科技
200,688659,元琛科技
201,688789,宏华数科
202,600287,ST舜天
203,600560,金自天正
204,600522,中天科技
205,688793,倍轻松
206,688607,康众医疗
207,600678,四川金顶
208,688160,步科股份
209,605296,神农集团
210,600628,新世界
211,603255,鼎际得
212,688681,科汇股份
213,603280,南方路机
214,600135,乐凯胶片
215,603639,海利尔
216,601949,中国出版
217,605138,盛泰集团
218,605088,冠盛股份
219,603000,人民网
220,603040,新坐标
221,688001,华兴源创
222,600691,阳煤化工
223,600467,好当家
224,600225,*ST卓朗
225,600551,时代出版
226,601061,中信金属
227,605016,XD百龙创
228,600768,宁波富邦
229,688114,华大智造
230,603838,四通股份
231,603685,晨丰科技
232,688819,天能股份
233,688325,赛微微电
234,688161,威高骨科
235,603863,松炀资源
236,688799,华纳药厂
237,601333,广深铁路
238,688472,阿特斯
239,688092,爱科科技
240,600156,华升股份
241,600540,新赛股份
242,600202,哈空调
243,601966,玲珑轮胎
244,603399,永杉锂业
245,600880,博瑞传播
246,600610,中毅达
247,605298,必得科技
248,688109,品茗科技
249,600071,凤凰光学
250,688029,南微医学
251,688193,仁度生物
252,600782,新钢股份
253,603318,水发燃气
254,603131,上海沪工
255,600233,圆通速递
256,688686,奥普特
257,605366,宏柏新材
258,601929,吉视传媒
259,603218,日月股份
260,603103,横店影视
261,603558,健盛集团
262,603595,东尼电子
263,600130,波导股份
264,603108,润达医疗
265,688663,新风光
266,603598,引力传媒
267,688291,金橙子
268,688517,金冠电气
269,600981,汇鸿集团
270,600094,大名城
271,688798,艾为电子
272,605555,德昌股份
273,688171,纬德信息
274,688038,中科通达
275,600697,欧亚集团
276,688059,华锐精密
277,603129,春风动力
278,601801,皖新传媒
279,601118,海南橡胶
280,600673,东阳光
281,603948,建业股份
282,603038,华立股份
283,688420,美腾科技
284,600327,大东方
285,600925,苏能股份
286,688489,三未信安
287,688550,瑞联新材
288,600850,电科数字
289,601616,广电电气
290,603798,康普顿
291,603722,阿科力
292,688010,福光股份
293,603828,ST柯利达
294,603790,雅运股份
295,603978,深圳新星
296,601339,百隆东方
297,603908,牧高笛
298,605033,美邦股份
299,605077,华康股份
300,688272,富吉瑞
301,601798,蓝科高新
302,688365,光云科技
303,688569,铁科轨道
304,605580,恒盛能源
305,688200,华峰测控
306,603279,景津装备
307,688510,航亚科技
308,688011,新光光电
309,605066,天正电气
310,688661,和林微纳
311,603956,威派格
312,603022,新通联
313,688618,三旺通信
314,600783,鲁信创投
315,688168,安博通
316,600985,淮北矿业
317,601999,出版传媒
318,688230,芯导科技
319,603507,振江股份
320,688165,埃夫特-U
321,688311,盟升电子
322,603039,泛微网络
323,688209,英集芯
324,603729,龙韵股份
325,600455,博通股份
326,688392,骄成超声
327,600715,*ST文投
328,600730,中国高科
329,600738,丽尚国潮
330,688719,爱科赛博
331,688097,博众精工
332,603681,永冠新材
333,601086,国芳集团
334,603660,苏州科达
335,603161,科华控股
336,688479,友车科技
337,603488,展鹏科技
338,600725,云维股份
339,603825,华扬联众
340,605111,新洁能
341,603577,汇金通
342,688208,道通科技
343,603788,宁波高发
344,603155,新亚强
345,688628,优利德
346,603272,联翔股份
347,603707,健友股份
348,603669,灵康药业
349,600458,时代新材
350,601865,福莱特
351,688777,中控技术
352,603677,奇精机械
353,603489,八方股份
354,688297,中无人机
355,688571,杭华股份
356,603388,ST元成
357,600594,益佰制药
358,603968,醋化股份
359,688096,京源环保
360,688046,药康生物
361,603938,三孚股份
362,603238,诺邦股份
363,688300,联瑞新材
364,688081,兴图新科
365,603363,*ST傲农
366,603556,海兴电力
367,603726,朗迪集团
368,605208,永茂泰
369,688376,美埃科技
370,600022,山东钢铁
371,603216,梦天家居
372,600333,长春燃气
373,601100,恒立液压
374,605488,福莱新材
375,603236,移远通信
376,600150,中国船舶
377,603086,先达股份
378,688335,复洁环保
379,603110,东方材料
380,688067,爱威科技
381,600486,扬农化工
382,688108,赛诺医疗
383,688591,泰凌微
384,688585,上纬新材
385,600664,哈药股份
386,600448,华纺股份
387,605099,共创草坪
388,603989,艾华集团
389,688772,珠海冠宇
390,600235,民丰特纸
391,603023,*ST威帝
392,600346,恒力石化
393,688065,凯赛生物
